lat,lon,DNI_1,DNI_2,DNI_3,DNI_4,DNI_5,DNI_6,DNI_7,DNI_8,DNI_9,DNI_10,DNI_11,DNI_12,GHI_1,GHI_2,GHI_3,GHI_4,GHI_5,GHI_6,GHI_7,GHI_8,GHI_9,GHI_10,GHI_11,GHI_12,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9,W_10,W_11,W_12
-40.5,152.5,5.5284,4.9085,4.5418,3.5369,2.9057,2.5205,2.765,3.467,4.3315,4.9634,5.0467,5.621,6.5484,5.6064,4.3716,2.9498,1.9865,1.5262,1.763,2.6686,3.8904,5.2188,6.0329,6.7598,17.94,18.44,18.16,16.95,15.58,14.38,13.5,12.9,13.29,13.8,14.95,16.38,8.84,8.48,8.65,8.91,9.56,9.65,10.0,10.11,9.98,9.4,8.93,8.89
-39.5,152.5,5.6239,5.0856,4.7146,3.5962,3.0514,2.6256,2.85,3.5153,4.3476,4.9622,5.1223,5.6983,6.6101,5.7041,4.4983,3.0571,2.0928,1.62,1.8528,2.731,3.966,5.2702,6.0799,6.7975,18.71,19.25,18.89,17.77,16.25,14.96,14.1,13.52,13.92,14.48,15.74,17.05,8.76,8.47,8.54,8.79,9.45,9.47,10.0,10.07,9.88,9.46,8.94,8.87
-38.5,152.5,5.67,5.0359,4.8046,3.8318,3.1762,2.7139,3.042,3.5897,4.4566,5.0599,5.2325,5.7029,6.6905,5.7185,4.5989,3.1992,2.2133,1.7129,1.98,2.807,4.0337,5.3201,6.127,6.8143,19.54,20.08,19.66,18.47,16.94,15.6,14.72,14.28,14.63,15.18,16.53,17.83,8.7,8.4,8.41,8.58,9.34,9.29,9.95,9.97,9.79,9.42,8.94,8.82
-37.5,152.5,5.766,5.0206,4.8146,4.0178,3.3026,2.826,3.2729,3.7339,4.651,5.1696,5.3328,5.707,6.7661,5.7142,4.661,3.3329,2.3162,1.8211,2.1206,2.917,4.1676,5.4178,6.2434,6.852,20.31,20.92,20.43,19.22,17.72,16.28,15.3,14.95,15.4,15.93,17.25,18.49,8.6,8.25,8.24,8.33,9.19,9.12,9.68,9.7,9.63,9.25,8.82,8.65
-36.5,152.5,5.8555,5.2008,4.8492,4.3428,3.5405,3.0355,3.5093,4.0236,4.8158,5.3707,5.5663,5.7785,6.8357,5.8402,4.751,3.5194,2.4763,1.9488,2.2714,3.0869,4.3202,5.5294,6.4056,6.9053,21.1,21.69,21.17,19.89,18.26,16.91,15.9,15.65,16.15,16.84,17.96,19.25,8.38,8.02,8.01,8.06,8.81,8.99,9.37,9.4,9.26,8.9,8.55,8.37
-35.5,152.5,5.9484,5.3158,4.9627,4.6586,3.7786,3.114,3.709,4.2602,5.1134,5.6263,5.7298,5.8008,6.9026,5.9429,4.8792,3.725,2.6326,2.0698,2.4084,3.2479,4.4962,5.6765,6.4975,6.9521,21.89,22.38,21.82,20.6,18.88,17.39,16.46,16.3,16.85,17.59,18.75,20.14,8.21,7.87,7.71,7.74,8.47,8.88,9.18,9.24,8.87,8.5,8.27,8.18
-34.5,152.5,6.0336,5.4883,5.2082,4.813,3.9602,3.228,3.9408,4.6742,5.4758,5.7864,5.88,5.8282,6.9473,6.0694,5.0374,3.8551,2.7619,2.1874,2.5567,3.4574,4.6946,5.8094,6.5983,6.9466,22.59,22.93,22.37,21.24,19.43,17.87,16.92,16.74,17.45,18.38,19.46,21.01,8.1,7.76,7.45,7.35,8.07,8.67,8.85,8.85,8.49,8.2,8.15,8.04
-33.5,152.5,6.0967,5.5118,5.2282,4.8158,4.1642,3.3823,4.1856,5.01,5.742,5.9249,5.8121,5.8186,6.9386,6.1003,5.1254,3.9425,2.9069,2.3114,2.7149,3.6382,4.8646,5.9035,6.5971,6.8856,23.06,23.44,22.87,21.69,19.76,18.1,17.11,17.09,18.04,18.98,20.12,21.65,8.14,7.76,7.34,7.0,7.6,8.35,8.44,8.39,8.15,8.04,8.12,8.1
-32.5,152.5,5.8171,5.2538,4.8218,4.662,4.3769,3.6283,4.3356,5.1317,5.7946,5.695,5.4715,5.4989,6.7202,5.939,4.9522,3.9264,3.0492,2.4502,2.8505,3.7894,4.9836,5.7907,6.3581,6.6406,23.95,23.85,22.75,20.8,18.02,15.97,14.83,15.34,17.45,19.21,20.92,22.52,7.11,6.85,6.5,5.98,6.53,7.09,7.17,7.2,6.96,6.88,7.03,7.06
-31.5,152.5,5.4924,4.7244,4.5497,4.8463,4.9649,4.1894,4.9123,5.7422,6.2474,5.6726,5.3551,5.214,6.4327,5.6086,4.8029,4.0565,3.2981,2.6791,3.0773,4.0181,5.1451,5.7403,6.1574,6.3734,23.08,22.13,20.34,17.73,14.62,12.53,11.58,12.61,15.75,18.21,20.12,21.8,3.03,3.02,2.96,2.87,3.07,3.2,3.23,3.36,3.28,3.11,3.09,3.07
-30.5,152.5,5.2495,4.6342,4.4054,4.8444,5.0878,4.3346,5.106,5.8891,6.2455,5.731,5.3165,5.0743,6.3756,5.6278,4.818,4.1573,3.4253,2.831,3.2316,4.159,5.2229,5.838,6.2573,6.3614,22.11,20.94,19.0,16.25,13.01,10.86,9.94,11.1,14.57,17.32,19.39,21.01,2.7,2.7,2.64,2.56,2.76,2.96,3.0,3.15,3.07,2.82,2.76,2.73
-29.5,152.5,5.3755,4.8751,4.4722,5.1396,5.3064,4.6752,5.4398,6.2347,6.4385,5.9446,5.6179,5.2154,6.4517,5.761,4.9222,4.3174,3.5712,2.9842,3.4044,4.3198,5.3292,5.9623,6.4788,6.4606,23.02,21.94,20.04,17.36,14.08,11.76,10.9,12.25,15.77,18.51,20.56,22.08,2.72,2.72,2.66,2.54,2.63,2.86,2.86,2.99,2.9,2.71,2.65,2.65
-28.5,152.5,5.5654,5.1504,4.7088,5.256,5.3563,4.687,5.4749,6.312,6.4822,6.2182,6.0571,5.5795,6.5803,5.9045,5.0455,4.4093,3.659,3.0353,3.4778,4.4141,5.4053,6.1034,6.6922,6.6252,23.44,22.34,20.58,17.87,14.54,12.19,11.36,12.75,16.31,18.99,21.11,22.51,3.29,3.32,3.24,3.07,3.03,3.27,3.26,3.41,3.36,3.23,3.19,3.2
